;R (Ã…);V(r) (Hartree);V_CT(r) (kJ/mol);V_LJ(r) (kJ/mol);V_Exp(r) (kJ/mol)
0;3.0;0.00305498;8.020848888618305;50.593771040439606;-1.872442434743385
1;3.25;0.00051811;1.360297618210931;15.121295715288534;-2.446589392805366
2;3.5;-0.00027898;-0.7324618894221026;3.655326882660617;-1.87158480040713
5;3.75;-0.00044082;-1.1573727510755296;0.0;-1.178
6;3.775;-0.00044187;-1.1601295256969835;-0.17696166533702035;-1.1160916789195308
7;3.8;-0.00044132;-1.1586855008952694;-0.33247519548659343;-1.0560655783896302
8;3.85;-0.00043621;-1.1452691977375273;-0.5877382288073106;-0.9418619793350405
10;4.0;-0.0003996;-1.0491496559361682;-1.0271338580429834;-0.6471673031310379
11;4.25;-0.00031312;-0.8220964471139464;-1.174280522592199;-0.30427942414224135
12;4.5;-0.0002323;-0.6099035662511808;-1.0495571087728637;-0.10549916133566845
13;5.0;-0.00012296;-0.32283143567044853;-0.6893757948875426;0.04587890202507336
15;6.0;-3.777e-05;-0.09916512138315582;-0.26411669932713266;0.0448800303821444
16;7.0;-1.403e-05;-0.036835759941902996;-0.10874662604117648;0.015159183428951856
